編號,提出單位,提出建議,題庫方向,中文問題,中文答案,English Question,English Answer,問題說明
127,,,動物面,請問臺灣黑熊會不會跟人一樣也怕太熱?,是的。在夏季高溫期間黑熊可能會出現呼吸急促情形，園方會持續關注動物的行為表現及狀況，適時調整照護方式。,"Do Asian Black Bears also get uncomfortable or afraid of the heat, just like humans do?
","Yes. In hot summer weather, Asian Black Bears may show rapid breathing. The zoo monitors their behavior and adjusts care as needed to keep them comfortable.",
128,,,動物面,請問天氣太熱時黑熊展場會如何處理?,黑熊展示場設有洞型遮蔭空間、水池，並搭配灑水系統，保育員不定期提供冰品，協助動物於夏季進行體溫調節。也會增加電解質水或冰並調高提供頻率，在必要時也會開啟室內欄舍，讓動物可自主選擇至較涼爽處休息。,What measures does the zoo take for the Asian Black Bear exhibit when the weather is too hot?,"When it’s very hot, the Asian Black Bear exhibit uses:

Shaded cave-like shelters and a pool
Misting/sprinkler systems
Ice treats provided by keepers
Increased electrolyte water/ice and frequency
Access to indoor holding areas so bears can choose cooler spaces
(Source: Taipei Zoo)",
129,,,動物面,請問在園內展場外面看到的野生獼猴、山羌、白鼻心等動物，是園內脫逃或飼養的嗎?,這些動物並不是園內脫逃或飼養的。因為本園坐落於淺山環境，臺灣獼猴、山羌、白鼻心、藍腹鷴目擊率相對較高，近年於社區目擊率也逐漸提升。,"When I see wild animals such as Formosan Rock Macaque, Formosan Reeve's Muntjac, or Formosan Gem-faced Civet outside the zoo exhibits, are they escaped or zoo-kept animals?","They are not escapees or zoo-kept animals. The zoo sits in a low-mountain area, so wild Formosan Rock Macaques, Formosan Reeve’s Muntjacs, Formosan Gem-faced Civets, and even Swinhoe’s pheasants are commonly seen nearby. Sightings in nearby communities have also increased in recent years.",
130,推廣組,學名斜體字,動物面,請問園內展示的雲豹是真正臺灣的雲豹嗎?,全世界的雲豹分為亞洲雲豹及巽他雲豹。 臺灣動物區的雲豹是亞洲雲豹，與臺灣原生的雲豹為同一種，是為本園參與歐洲暨水族協會的雲豹瀕危物種計畫而來到臺灣，並不是臺灣的雲豹。,Is the Clouded Leopard on display in the zoo a true Formosan Clouded Leopard?,"
Short answer: No.

The Clouded Leopard you see at the Taiwan Animals Area is the Asian Clouded Leopard . It is the same species as the former Formosan Clouded Leopard, but not the extinct Taiwan subspecies. It came to the zoo via the EAZA  Clouded Leopard program. (Source: Taipei Zoo animal guide and exhibit panels)",
131,動物組,黑熊在野外的活動範圍每年可達數百平方公里，但在圈養空間有活動空間受限，若缺乏足夠展現自然行為的機會，就可能因無聊、壓力或行為需求無法滿足而產生刻板行為，如反覆踱步、搖晃等。為了改善這種情況，動物園會實施環境豐富化措施，例如增加垂直空間利用、設置攀爬結構、藏食物、提供互動設施與動物訓練以降低異常行為發生。,動物面,動物園飼養的黑熊容易產生刻板行為嗎？,黑熊在野外的活動範圍每年可達數百平方公里，但在圈養空間有活動空間受限，若缺乏足夠展現自然行為的機會，就可能因無聊、壓力或行為需求無法滿足而產生刻板行為，如反覆踱步、搖晃等。為了改善這種情況，動物園會實施環境豐富化措施，例如增加垂直空間利用、設置攀爬結構、藏食物、提供互動設施與動物訓練以降低異常行為發生。,Are black bears in zoos prone to developing stereotypical behaviors?,"Black bears in the wild can roam hundreds of square kilometers annually, but their movement is restricted in captive enclosures. Without sufficient opportunities to exhibit natural behaviors, they may develop stereotypical behaviors such as pacing or rocking due to boredom, stress, or unmet behavioral needs. To mitigate this, zoos implement environmental enrichment measures. These include increasing vertical space utilization, installing climbing structures, hiding food, providing interactive facilities, and training animals to reduce the occurrence of abnormal behaviors.",
132,,,動物面,如何降低黑熊產生刻板行為？,本園盡力為動物提升福祉，因此保育員會利用場地高低落差設置了諸多動物行為豐富化設施，除透過食物（以日糧20%的比例更換當季蔬果）多樣性豐富黑熊日常生活外，每日提供豐富化玩具給黑熊使用；此外也導入動物正向訓練，幫助及陪伴動物儘可能降低異常行為，提升動物福祉。,How can stereotypic behaviors in Black Bears be reduced?,"To reduce stereotypic behaviors, the zoo focuses on welfare and enrichment:
- Environmental enrichment using height/terrain features, climbing structures, shade
- Diet variety: about 20% of the daily ration swapped for seasonal fruits/veggies
- Daily enrichment toys and foraging opportunities (e.g., hidden food)
- Positive reinforcement training to support natural behaviors and reduce stress
- Ongoing behavioral observation and adjusting the exhibit as needed

(Source: Taipei Zoo)",
133,,,動物面,為什麼黑熊會一直反覆走來走去，牠是得了憂鬱症嗎?,針對此行為表現，園方將安排進一步行為觀察與評估以掌握動物當下的狀態與需求。保育員會透過持續於展場中調整設施配置，提供藏食、攀爬與遮蔽等提供多樣化體驗降低動物異常行為的產生。,"Why does the Asian Black Bear keep pacing back and forth? Is it suffering from depression?
","Pacing alone doesn’t mean “depression.” Bears may show repetitive pacing for several reasons (stress, anticipation, lack of stimulation). The zoo will:
- Conduct behavioral observation and assessment to understand current needs
- Adjust the exhibit setup (hiding spots, climbing, shade) and add foraging/enrichment
- Provide varied foods and daily enrichment toys
These steps help lower abnormal behaviors and improve welfare. (Source: Taipei Zoo)",
134,,,動物面,為什麼在穿山甲展示場會看到領角鴞呢？,保育廊道穿山甲展示場有與領角鴞混展，領角鴞主要住在高處，穿山甲利用地面，混種展示讓場地充分被動物所利用，也是國際上慣常用的展示手法。,Why can I see a Collared Scops Owl in the pangolin exhibit?,"Because it’s a mixed-species exhibit. In the pangolin area, Collared Scops Owls share the space: owls mainly use higher perches, while pangolins use the ground. This lets both species use different “layers” of the habitat—an approach commonly used in modern zoos. (Source: Taipei Zoo)",
135,,,動物面,臺灣獼猴身上有些光禿禿的地方是在脫毛嗎？還是皮膚病?,部分臺灣獼猴生活在大群體中，對於年紀稍長的個體，因群體日常互動理毛加上年紀大的關係，缺少毛髮的部分較不易完全復原。部分脫毛的原因主要是群體互動及賀爾蒙分泌異常所造成，並非黴菌感染或其他皮膚疾病。,"Are the bald patches on the Formosan Rock Macaque due to shedding, or are they caused by a skin disease?","They’re usually not a skin disease. In Formosan Rock Macaque that live in large groups, older individuals may show bald patches that don’t fully grow back due to frequent social grooming and age. Partial hair loss can also relate to social interactions and hormonal imbalance, not fungal infection or other skin disease. (Source: Taipei Zoo)",
136,,,動物面,我們家有飼養寵物，請問該寵物可以捐贈給動物園嗎?,很抱歉本園無法收容寵物，請洽詢各縣市政府主管機關較為妥善。如為臺北市民，請洽詢臺北市動物保護處，連絡電話02-87897158。,We have a pet at home. May I ask if this pet can be donated to the zoo?,"Sorry, the zoo cannot accept or house pets. Please contact your local government animal protection office for proper assistance. If you live in Taipei City, reach the Taipei City Animal Protection Office at 02-87897158.",
137,,,動物面,請問動物園如何決定放展的動物呢? ,本園會依照每隻個體的健康狀況、行為表現及展示需求進行彈性調整與輪替，所有調度皆以動物福祉與個體需求為優先考量，亦同步評估整體教育展示與保育推廣目標的呈現。,How does the zoo decide which animals to include in its exhibits?,"We flexibly adjust and rotate animals based on each individual’s health, behavior, and display needs. All decisions prioritize animal welfare and individual requirements, while also considering education goals and conservation outreach objectives.",
